epoch,epsilon,time,reward
256,0.405,1701683012.8864493,-50.88002723311541
257,0.405,1701683013.6632822,-50.758948801742925
258,0.405,1701683014.3393078,-51.518751556177996
259,0.405,1701683015.0211997,-51.1588499844382
260,0.405,1701683015.7591002,-52.117859866168665
261,0.405,1701683016.4241612,-51.21343837535011
262,0.405,1701683017.0912266,-51.147792561469046
263,0.405,1701683017.772844,-50.54013849984439
264,0.405,1701683018.429955,-54.676074540927495
265,0.405,1701683019.1213255,-51.09257197323368
266,0.405,1701683019.892594,-51.54084850606905
267,0.405,1701683020.5749457,-49.79535753190165
268,0.405,1701683021.2686353,-50.17516612200436
269,0.405,1701683022.184362,-53.61744125427947
270,0.405,1701683023.1794043,-55.1906924992219
271,0.405,1701683023.8828497,-49.837081777155326
272,0.405,1701683024.560719,-53.93985410830994
273,0.405,1701683025.2550945,-56.915587846249636
274,0.405,1701683025.932023,-51.872425303454676
275,0.405,1701683026.6507277,-50.20427248677255
276,0.405,1701683027.4544485,-59.4416713352007
277,0.405,1701683028.2074196,-54.32556683784628
278,0.405,1701683028.999035,-51.92740507314035
279,0.405,1701683029.7426372,-50.39582594148771
280,0.405,1701683030.414758,-49.90913671023965
281,0.405,1701683031.1214225,-52.304797696856554
282,0.405,1701683031.8428123,-52.40841581076875
283,0.405,1701683032.5323782,-51.009083022097755
284,0.405,1701683033.1796656,-50.52942032368504
285,0.405,1701683033.9368715,-49.90231753812642
286,0.405,1701683034.7344246,-52.27801198257078
287,0.405,1701683035.448198,-51.475710784313705
288,0.405,1701683036.1104121,-54.979482570806084
289,0.405,1701683036.8112533,-50.54936819172111
290,0.405,1701683037.5904622,-49.87879007158422
291,0.405,1701683038.3437238,-57.08403244631188
292,0.405,1701683039.0508158,-49.29084617180204
293,0.405,1701683039.7491198,-49.664910908807975
294,0.405,1701683040.425203,-53.4754520697168
295,0.405,1701683041.0989618,-57.17556100217866
296,0.405,1701683041.7763245,-51.02031084656088
297,0.405,1701683042.4349923,-53.47135932150641
298,0.405,1701683043.1436908,-51.686564737006
299,0.36450000000000005,1701683043.8751059,-51.83676159352633
300,0.36450000000000005,1701683044.7243612,-51.680184407096185
301,0.36450000000000005,1701683045.414022,-51.25593759726112
302,0.36450000000000005,1701683046.082154,-53.87263655462184
303,0.36450000000000005,1701683046.7760746,-50.69830259881732
304,0.36450000000000005,1701683047.4570644,-52.534822206660415
305,0.36450000000000005,1701683048.1301477,-51.42306917211331
306,0.36450000000000005,1701683048.858464,-50.422713196389665
307,0.36450000000000005,1701683049.5345747,-50.58623482726424
308,0.36450000000000005,1701683050.419352,-53.78170012449422
309,0.36450000000000005,1701683051.1901371,-50.52690048241521
310,0.36450000000000005,1701683052.1221654,-51.42801587301585
311,0.36450000000000005,1701683053.016806,-51.410396047307806
312,0.36450000000000005,1701683053.7011442,-51.72618541861189
313,0.36450000000000005,1701683054.4020655,-52.4859500466853
314,0.36450000000000005,1701683055.0666025,-57.54841153127912
315,0.36450000000000005,1701683055.7463057,-52.11528555866789
316,0.36450000000000005,1701683056.5863304,-52.28575591347655
317,0.36450000000000005,1701683057.3087971,-51.523364845938396
318,0.36450000000000005,1701683057.9994035,-51.751946000622446
